sample,total_count,population,count,percentage
s1,120000,cd8_t_cell,24000,0.2
s2,100000,cd8_t_cell,22000,0.22
s3,125000,cd8_t_cell,26250,0.21
s4,90000,cd8_t_cell,17100,0.19
s5,150000,cd8_t_cell,30000,0.2
s6,110000,cd8_t_cell,24200,0.22
s7,95000,cd8_t_cell,19000,0.2
s8,100000,cd8_t_cell,23000,0.23
s9,130000,cd8_t_cell,27300,0.21
s10,98000,cd8_t_cell,21560,0.22
s11,105000,cd8_t_cell,19950,0.19
s12,120000,cd8_t_cell,22800,0.19
s13,115000,cd8_t_cell,24150,0.21
s14,100000,cd8_t_cell,20000,0.2
s15,80000,cd8_t_cell,15200,0.19
s16,100000,cd8_t_cell,20000,0.2
s17,120000,cd8_t_cell,24000,0.2
