sample,total_count,population,count,percentage
s1,120000,nk_cell,6000,0.05
s2,100000,nk_cell,2000,0.02
s3,125000,nk_cell,10000,0.08
s4,90000,nk_cell,4500,0.05
s5,150000,nk_cell,4500,0.03
s6,110000,nk_cell,5500,0.05
s7,95000,nk_cell,8550,0.09
s8,100000,nk_cell,6000,0.06
s9,130000,nk_cell,6500,0.05
s10,98000,nk_cell,8820,0.09
s11,105000,nk_cell,8400,0.08
s12,120000,nk_cell,6000,0.05
s13,115000,nk_cell,8050,0.07
s14,100000,nk_cell,3000,0.03
s15,80000,nk_cell,3200,0.04
s16,100000,nk_cell,4000,0.04
s17,120000,nk_cell,10800,0.09
