sample,total_count,population,count,percentage
s1,120000,cd4_t_cell,42000,0.35
s2,100000,cd4_t_cell,40000,0.4
s3,125000,cd4_t_cell,37500,0.3
s4,90000,cd4_t_cell,18000,0.2
s5,150000,cd4_t_cell,37500,0.25
s6,110000,cd4_t_cell,33000,0.3
s7,95000,cd4_t_cell,23750,0.25
s8,100000,cd4_t_cell,25000,0.25
s9,130000,cd4_t_cell,32500,0.25
s10,98000,cd4_t_cell,21560,0.22
s11,105000,cd4_t_cell,29400,0.28
s12,120000,cd4_t_cell,45600,0.38
s13,115000,cd4_t_cell,47150,0.41
s14,100000,cd4_t_cell,25000,0.25
s15,80000,cd4_t_cell,20800,0.26
s16,100000,cd4_t_cell,24000,0.24
s17,120000,cd4_t_cell,40800,0.34
